From,To,Length
15,50,0.174430642
15,51,0.209627329
16,1,0.234126984
16,2,0.270186335
16,3,0.2605245
16,4,0.304520359
16,5,0.296928916
16,6,0.324189096
16,7,0.350241546
16,8,0.349206349
16,10,0.322463768
16,11,0.421325052
16,12,0.399240856
16,13,0.318668047
16,14,0.292270531
16,15,0.286922015
16,17,0.453933747
16,18,0.61663216
16,19,0.428571429
16,20,0.468771567
16,21,0.319358178
16,22,0.347826087
16,23,0.339199448
16,24,0.341442374
16,25,0.330572809
16,26,0.293133195
16,27,0.252415459
16,28,0.25741891
16,29,0.202035887
16,30,0.210144928
16,31,0.273119393
16,32,0.319358178
16,33,0.315044859
16,34,0.387163561
16,35,0.345928226
16,36,0.296756384
16,37,0.33126294
16,38,0.305900621
16,39,0.305900621
16,40,0.297619048
16,41,0.282091097
16,42,0.293478261
16,43,0.269668737
16,44,0.284506556
16,45,0.270703934
16,46,0.297964113
16,47,0.281573499
16,48,0.292097999
16,49,0.224637681
16,50,0.231538992
16,51,0.22826087
17,1,0.246376812
17,2,0.264147688
17,3,0.263285024
17,4,0.336266391
17,5,0.325569358
17,6,0.330917874
17,7,0.337991718
17,8,0.336611456
17,10,0.321256039
17,11,0.379744651
17,12,0.411663216
17,13,0.326259489
17,14,0.28657695
17,15,0.257763975
17,16,0.453933747
17,18,0.463940649
17,19,0.635955832
17,20,0.476363009
17,21,0.359558316
17,22,0.380089717
17,23,0.36042098
17,24,0.357487923
17,25,0.327812284
17,26,0.284334023
17,27,0.266390614
17,28,0.264492754
17,29,0.208592133
17,30,0.216873706
17,31,0.259834369
17,32,0.310731539
17,33,0.297446515
17,34,0.356797792
17,35,0.317805383
17,36,0.323153899
17,37,0.367494824
17,38,0.335921325
17,39,0.331090407
17,40,0.322981366
17,41,0.296238785
17,42,0.306418219
17,43,0.295721187
17,44,0.293305728
17,45,0.274327122
17,46,0.301069703
17,47,0.271566598
17,48,0.268978606
17,49,0.212387854
17,50,0.233436853
17,51,0.221704624
18,1,0.232746722
18,2,0.263457557
18,3,0.252933057
18,4,0.302795031
18,5,0.282091097
18,6,0.32194617
18,7,0.354554865
18,8,0.353692202
18,10,0.317460317
18,11,0.447204969
18,12,0.389233954
18,13,0.319358178
18,14,0.291752933
18,15,0.285886818
18,16,0.61663216
18,17,0.463940649
18,19,0.424775707
18,20,0.445307108
18,21,0.300552105
18,22,0.33436853
18,23,0.322118703
18,24,0.319703244
18,25,0.303657695
18,26,0.264320221
18,27,0.226535542
18,28,0.253278123
18,29,0.194271912
18,30,0.198930297
18,31,0.28226363
18,32,0.327984817
18,33,0.323671498
18,34,0.374568668
18,35,0.353864734
18,36,0.292097999
18,37,0.317805383
18,38,0.299516908
18,39,0.297446515
18,40,0.286404417
18,41,0.285196687
18,42,0.285714286
18,43,0.250862664
18,44,0.273809524
18,45,0.256901311
18,46,0.284851622
18,47,0.283988958
18,48,0.285196687
18,49,0.216873706
18,50,0.234299517
18,51,0.235679779
19,1,0.254658385
19,2,0.267770876
19,3,0.27294686
19,4,0.346100759
19,5,0.32073844
19,6,0.318495514
19,7,0.316942719
19,8,0.329537612
19,10,0.322291235
19,11,0.379227053
19,12,0.430814355
19,13,0.352484472
19,14,0.314182195
19,15,0.261042098
19,16,0.428571429
19,17,0.635955832
19,18,0.424775707
19,20,0.425293306
19,21,0.3436853
19,22,0.365769496
19,23,0.365424431
19,24,0.394237405
19,25,0.322636301
19,26,0.265010352
19,27,0.263457557
19,28,0.27484472
19,29,0.187543133
19,30,0.212387854
19,31,0.253968254
19,32,0.304865424
19,33,0.281400966
19,34,0.343167702
19,35,0.319703244
19,36,0.352657005
19,37,0.381469979
19,38,0.34057971
19,39,0.349033816
19,40,0.328847481
19,41,0.307625949
19,42,0.339199448
19,43,0.293133195
19,44,0.303312629
19,45,0.284334023
19,46,0.302795031
19,47,0.293133195
19,48,0.264837819
19,49,0.224465148
19,50,0.255348516
19,51,0.224292616
20,1,0.219806763
20,2,0.244478951
20,3,0.23757764
20,4,0.297101449
20,5,0.30521049
20,6,0.306763285
20,7,0.329020014
20,8,0.335231194
20,10,0.320910973
20,11,0.368357488
20,12,0.379399586
20,13,0.302449965
20,14,0.277260179
20,15,0.238267771
20,16,0.468771567
20,17,0.476363009
20,18,0.445307108
20,19,0.425293306
20,21,0.322118703
20,22,0.347653554
20,23,0.322463768
20,24,0.32384403
20,25,0.318150449
20,26,0.284851622
20,27,0.243961353
20,28,0.248792271
20,29,0.197550035
20,30,0.209972395
20,31,0.242408558
20,32,0.311939268
20,33,0.292615597
20,34,0.361973775
20,35,0.310041408
20,36,0.295721187
20,37,0.311594203
20,38,0.299861974
20,39,0.297446515
20,40,0.287784679
20,41,0.268461008
20,42,0.280365769
20,43,0.273636991
20,44,0.281400966
20,45,0.2605245
20,46,0.275189786
20,47,0.257591442
20,48,0.264320221
20,49,0.194962043
20,50,0.218599034
20,51,0.212732919
21,1,0.282608696
21,2,0.288992409
21,3,0.281918565
21,4,0.364216701
21,5,0.409592823
